dataset,model,task,strategy,accuracy,f1,valid,total
DEEPSEEK,Cloud/devstral-small-2:24b,pain_intensity,zero_shot,0.688,0.465,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,pain_intensity,cot_simple,0.672,0.4922,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,pain_intensity,cot_hierarchical,0.998,0.9984,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,pain_intensity,cot_verification,0.988,0.6576,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,pain_intensity,cot_ensemble,0.874,0.5698,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,pain_intensity,cot_decision_tree,0.842,0.589,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,pain_intensity,cot_confidence,0.666,0.4757,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,pain_intensity,few_shot,0.566,0.4135,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,etiology,zero_shot,0.748,0.8548,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,etiology,cot_simple,0.748,0.8558,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,etiology,cot_verification,0.746,0.8545,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,etiology,few_shot,0.752,0.8571,500,500
DEEPSEEK,Cloud/devstral-small-2:24b,etiology,knowledge_guided,0.294,0.3662,500,500
DEEPSEEK,Cloud/gemma3:12b,pain_intensity,zero_shot,0.58,0.2477,500,500
DEEPSEEK,Cloud/gemma3:12b,pain_intensity,cot_simple,0.702,0.4255,500,500
DEEPSEEK,Cloud/gemma3:12b,pain_intensity,cot_hierarchical,0.994,0.9953,500,500
DEEPSEEK,Cloud/gemma3:12b,pain_intensity,cot_verification,0.694,0.2731,500,500
DEEPSEEK,Cloud/gemma3:12b,pain_intensity,cot_ensemble,0.694,0.2731,500,500
DEEPSEEK,Cloud/gemma3:12b,pain_intensity,cot_decision_tree,0.694,0.2731,500,500
DEEPSEEK,Cloud/gemma3:12b,pain_intensity,cot_confidence,0.582,0.3535,500,500
DEEPSEEK,Cloud/gemma3:12b,pain_intensity,few_shot,0.904,0.5973,500,500
DEEPSEEK,Cloud/gemma3:12b,etiology,zero_shot,0.712,0.8227,500,500
